Variable 1,Variable 2,Correlation (Total),Correlation (Churn=0),Correlation (Churn=1),Correlation (Total) (ABS),Correlation (Churn=0) (ABS),Correlation (Churn=1) (ABS)
sachet_3g_8,loc_ic_t2f_mou_8,0.0078,0.005,0.0213,0.0078,0.005,0.0213
sachet_3g_8,loc_ic_mou_6,0.0019,-0.0008,0.0069,0.0019,0.0008,0.0069
sachet_3g_8,loc_ic_mou_7,0.0045,0.0007,0.0164,0.0045,0.0007,0.0164
sachet_3g_8,loc_ic_mou_8,0.0057,0.0011,0.0248,0.0057,0.0011,0.0248
sachet_3g_8,std_ic_t2t_mou_6,-0.0004,-0.0005,0.0074,0.0004,0.0005,0.0074
sachet_3g_8,std_ic_t2t_mou_7,0.0002,-0.0002,0.0043,0.0002,0.0002,0.0043
sachet_3g_8,std_ic_t2t_mou_8,0.0045,0.003,0.0193,0.0045,0.003,0.0193
sachet_3g_8,std_ic_t2m_mou_6,0.0002,0.001,-0.0104,0.0002,0.001,0.0104
sachet_3g_8,std_ic_t2m_mou_7,-0.0009,-0.0016,-0.0051,0.0009,0.0016,0.0051
sachet_3g_8,std_ic_t2m_mou_8,0.0028,0.0011,-0.0016,0.0028,0.0011,0.0016
sachet_3g_8,std_ic_t2f_mou_6,-0.0038,-0.0046,0.0007,0.0038,0.0046,0.0007
sachet_3g_8,std_ic_t2f_mou_7,-0.0005,-0.0025,0.0604,0.0005,0.0025,0.0604
sachet_3g_8,std_ic_t2f_mou_8,-0.0045,-0.0062,0.0481,0.0045,0.0062,0.0481
sachet_3g_8,std_ic_mou_6,-0.0007,-0.0002,-0.0042,0.0007,0.0002,0.0042
sachet_3g_8,std_ic_mou_7,-0.0007,-0.0017,0.0029,0.0007,0.0017,0.0029
sachet_3g_8,std_ic_mou_8,0.0036,0.0014,0.0093,0.0036,0.0014,0.0093
sachet_3g_8,total_ic_mou_6,0.001,-0.0015,0.0027,0.001,0.0015,0.0027
sachet_3g_8,total_ic_mou_7,0.0035,-0.0008,0.0159,0.0035,0.0008,0.0159
sachet_3g_8,total_ic_mou_8,0.0084,0.0018,0.0461,0.0084,0.0018,0.0461
sachet_3g_8,spl_ic_mou_6,-0.004,-0.0052,0.0003,0.004,0.0052,0.0003
sachet_3g_8,spl_ic_mou_7,-0.0035,-0.0043,-0.0104,0.0035,0.0043,0.0104
sachet_3g_8,spl_ic_mou_8,0.0037,0.001,0.0148,0.0037,0.001,0.0148
sachet_3g_8,isd_ic_mou_6,-0.0021,-0.0019,-0.0077,0.0021,0.0019,0.0077
sachet_3g_8,isd_ic_mou_7,-0.002,-0.0022,-0.0048,0.002,0.0022,0.0048
sachet_3g_8,isd_ic_mou_8,0.0037,0.0028,0.0057,0.0037,0.0028,0.0057
sachet_3g_8,ic_others_6,-0.0009,-0.0011,0.0005,0.0009,0.0011,0.0005
sachet_3g_8,ic_others_7,0.0014,0.0011,-0.0014,0.0014,0.0011,0.0014
sachet_3g_8,ic_others_8,0.0006,-0.0002,0.01,0.0006,0.0002,0.01
sachet_3g_8,total_rech_num_6,0.1024,0.1099,0.0482,0.1024,0.1099,0.0482
sachet_3g_8,total_rech_num_7,0.1387,0.1405,0.1156,0.1387,0.1405,0.1156
sachet_3g_8,total_rech_num_8,0.1979,0.1967,0.17,0.1979,0.1967,0.17
sachet_3g_8,total_rech_amt_6,0.0476,0.05,0.0432,0.0476,0.05,0.0432
sachet_3g_8,total_rech_amt_7,0.064,0.0623,0.0813,0.064,0.0623,0.0813
sachet_3g_8,total_rech_amt_8,0.0939,0.0897,0.1128,0.0939,0.0897,0.1128
sachet_3g_8,max_rech_amt_6,0.0017,0.0006,0.0139,0.0017,0.0006,0.0139
sachet_3g_8,max_rech_amt_7,0.0097,0.0074,0.0132,0.0097,0.0074,0.0132
sachet_3g_8,max_rech_amt_8,0.0121,0.0061,0.0349,0.0121,0.0061,0.0349
sachet_3g_8,date_of_last_rech_6,0.0086,0.0073,0.0056,0.0086,0.0073,0.0056
sachet_3g_8,date_of_last_rech_7,0.0141,0.0096,0.0179,0.0141,0.0096,0.0179
sachet_3g_8,date_of_last_rech_8,0.024,0.0172,0.0382,0.024,0.0172,0.0382
sachet_3g_8,last_day_rch_amt_6,-0.0097,-0.0111,-0.0012,0.0097,0.0111,0.0012
sachet_3g_8,last_day_rch_amt_7,-0.0096,-0.0131,0.0108,0.0096,0.0131,0.0108
sachet_3g_8,last_day_rch_amt_8,-0.0032,-0.0093,0.0377,0.0032,0.0093,0.0377
sachet_3g_8,vol_2g_mb_6,0.051,0.0498,0.0826,0.051,0.0498,0.0826
sachet_3g_8,vol_2g_mb_7,0.0539,0.0519,0.0913,0.0539,0.0519,0.0913
sachet_3g_8,vol_2g_mb_8,0.0702,0.0665,0.1629,0.0702,0.0665,0.1629
sachet_3g_8,vol_3g_mb_6,0.1794,0.1853,0.1161,0.1794,0.1853,0.1161
sachet_3g_8,vol_3g_mb_7,0.2148,0.217,0.1669,0.2148,0.217,0.1669
sachet_3g_8,vol_3g_mb_8,0.2921,0.2939,0.1751,0.2921,0.2939,0.1751
sachet_3g_8,monthly_2g_6,0.0049,0.0041,-0.0088,0.0049,0.0041,0.0088
sachet_3g_8,monthly_2g_7,0.0103,0.0081,0.0251,0.0103,0.0081,0.0251
sachet_3g_8,monthly_2g_8,-0.0047,-0.0073,0.0079,0.0047,0.0073,0.0079
sachet_3g_8,sachet_2g_6,0.1459,0.151,0.065,0.1459,0.151,0.065
sachet_3g_8,sachet_2g_7,0.1624,0.1644,0.114,0.1624,0.1644,0.114
sachet_3g_8,sachet_2g_8,0.2456,0.2431,0.3009,0.2456,0.2431,0.3009
sachet_3g_8,monthly_3g_6,0.065,0.0663,0.0493,0.065,0.0663,0.0493
sachet_3g_8,monthly_3g_7,0.0558,0.0553,0.0545,0.0558,0.0553,0.0545
sachet_3g_8,monthly_3g_8,0.0555,0.055,0.0144,0.0555,0.055,0.0144
sachet_3g_8,sachet_3g_6,0.4909,0.5036,0.4128,0.4909,0.5036,0.4128
sachet_3g_8,sachet_3g_7,0.6523,0.6643,0.5417,0.6523,0.6643,0.5417
aon,arpu_6,0.0259,0.0303,0.0252,0.0259,0.0303,0.0252
aon,arpu_7,0.0238,0.0148,0.0334,0.0238,0.0148,0.0334
aon,arpu_8,0.0333,0.0095,0.0587,0.0333,0.0095,0.0587
aon,onnet_mou_6,-0.0379,-0.0314,-0.0388,0.0379,0.0314,0.0388
aon,onnet_mou_7,-0.0391,-0.0426,-0.0195,0.0391,0.0426,0.0195
aon,onnet_mou_8,-0.0356,-0.0487,0.0046,0.0356,0.0487,0.0046
aon,offnet_mou_6,0.004,0.0108,-0.0178,0.004,0.0108,0.0178
aon,offnet_mou_7,-0.0059,-0.0107,-0.0022,0.0059,0.0107,0.0022
aon,offnet_mou_8,-0.0031,-0.0184,0.0252,0.0031,0.0184,0.0252
aon,roam_ic_mou_6,0.0089,0.0137,0.0235,0.0089,0.0137,0.0235
aon,roam_ic_mou_7,-0.0028,0.0014,0.0225,0.0028,0.0014,0.0225
aon,roam_ic_mou_8,-0.0009,0.0026,0.0288,0.0009,0.0026,0.0288
aon,roam_og_mou_6,-0.0047,0.0001,0.018,0.0047,0.0001,0.018
aon,roam_og_mou_7,-0.0106,-0.0067,0.0328,0.0106,0.0067,0.0328
aon,roam_og_mou_8,-0.0117,-0.0085,0.0257,0.0117,0.0085,0.0257
aon,loc_og_t2t_mou_6,0.0729,0.0723,0.0171,0.0729,0.0723,0.0171
aon,loc_og_t2t_mou_7,0.0722,0.0671,0.0326,0.0722,0.0671,0.0326
aon,loc_og_t2t_mou_8,0.076,0.0691,0.0221,0.076,0.0691,0.0221
aon,loc_og_t2m_mou_6,0.1563,0.1508,0.1154,0.1563,0.1508,0.1154
aon,loc_og_t2m_mou_7,0.1593,0.1517,0.0832,0.1593,0.1517,0.0832
aon,loc_og_t2m_mou_8,0.1646,0.153,0.087,0.1646,0.153,0.087
aon,loc_og_t2f_mou_6,0.1586,0.1543,0.1436,0.1586,0.1543,0.1436
aon,loc_og_t2f_mou_7,0.1562,0.1528,0.0963,0.1562,0.1528,0.0963
aon,loc_og_t2f_mou_8,0.1592,0.155,0.0642,0.1592,0.155,0.0642
aon,loc_og_t2c_mou_6,-0.0194,-0.021,-0.0066,0.0194,0.021,0.0066
aon,loc_og_t2c_mou_7,-0.0272,-0.0314,-0.0129,0.0272,0.0314,0.0129
aon,loc_og_t2c_mou_8,-0.0227,-0.0303,0.0089,0.0227,0.0303,0.0089
aon,loc_og_mou_6,0.1515,0.1476,0.0883,0.1515,0.1476,0.0883
aon,loc_og_mou_7,0.1526,0.1447,0.0797,0.1526,0.1447,0.0797
aon,loc_og_mou_8,0.1576,0.1469,0.0677,0.1576,0.1469,0.0677
aon,std_og_t2t_mou_6,-0.0853,-0.0819,-0.0515,0.0853,0.0819,0.0515
aon,std_og_t2t_mou_7,-0.0853,-0.0904,-0.0343,0.0853,0.0904,0.0343
aon,std_og_t2t_mou_8,-0.0826,-0.0963,-0.0082,0.0826,0.0963,0.0082
aon,std_og_t2m_mou_6,-0.0966,-0.0937,-0.0646,0.0966,0.0937,0.0646
aon,std_og_t2m_mou_7,-0.1008,-0.1073,-0.0395,0.1008,0.1073,0.0395
aon,std_og_t2m_mou_8,-0.098,-0.1127,-0.0135,0.098,0.1127,0.0135
aon,std_og_t2f_mou_6,0.0589,0.0556,0.0726,0.0589,0.0556,0.0726
aon,std_og_t2f_mou_7,0.0513,0.0484,0.0538,0.0513,0.0484,0.0538
aon,std_og_t2f_mou_8,0.0629,0.0589,0.0627,0.0629,0.0589,0.0627
aon,std_og_mou_6,-0.1176,-0.1129,-0.0769,0.1176,0.1129,0.0769
aon,std_og_mou_7,-0.1206,-0.1278,-0.0481,0.1206,0.1278,0.0481
aon,std_og_mou_8,-0.1172,-0.1356,-0.0134,0.1172,0.1356,0.0134
aon,isd_og_mou_6,-0.0034,-0.0049,0.0346,0.0034,0.0049,0.0346
aon,isd_og_mou_7,-0.0041,-0.0054,0.024,0.0041,0.0054,0.024
aon,isd_og_mou_8,-0.004,-0.0057,0.031,0.004,0.0057,0.031
aon,spl_og_mou_6,-0.0429,-0.043,-0.0381,0.0429,0.043,0.0381
aon,spl_og_mou_7,-0.0469,-0.0502,-0.0306,0.0469,0.0502,0.0306
aon,spl_og_mou_8,-0.0519,-0.0634,-0.0056,0.0519,0.0634,0.0056
aon,og_others_6,-0.0232,-0.0233,-0.0106,0.0232,0.0233,0.0106
aon,og_others_7,0.0118,0.0114,0.0193,0.0118,0.0114,0.0193
aon,og_others_8,0.0037,0.0032,-0.0068,0.0037,0.0032,0.0068
aon,total_og_mou_6,-0.0155,-0.0081,-0.0403,0.0155,0.0081,0.0403
aon,total_og_mou_7,-0.0239,-0.0316,-0.0212,0.0239,0.0316,0.0212
aon,total_og_mou_8,-0.018,-0.0416,0.011,0.018,0.0416,0.011
aon,loc_ic_t2t_mou_6,0.0469,0.0439,0.0278,0.0469,0.0439,0.0278
aon,loc_ic_t2t_mou_7,0.0462,0.0421,0.0087,0.0462,0.0421,0.0087
aon,loc_ic_t2t_mou_8,0.0507,0.0421,0.0095,0.0507,0.0421,0.0095
aon,loc_ic_t2m_mou_6,0.1469,0.1425,0.0873,0.1469,0.1425,0.0873
aon,loc_ic_t2m_mou_7,0.1485,0.1397,0.0725,0.1485,0.1397,0.0725
aon,loc_ic_t2m_mou_8,0.1491,0.1369,0.0562,0.1491,0.1369,0.0562
aon,loc_ic_t2f_mou_6,0.1565,0.1514,0.1409,0.1565,0.1514,0.1409
aon,loc_ic_t2f_mou_7,0.1478,0.1423,0.1207,0.1478,0.1423,0.1207
aon,loc_ic_t2f_mou_8,0.1469,0.1405,0.0818,0.1469,0.1405,0.0818
aon,loc_ic_mou_6,0.147,0.1428,0.0863,0.147,0.1428,0.0863
aon,loc_ic_mou_7,0.1472,0.1396,0.0594,0.1472,0.1396,0.0594
aon,loc_ic_mou_8,0.1491,0.1368,0.0507,0.1491,0.1368,0.0507
aon,std_ic_t2t_mou_6,-0.0103,-0.0097,-0.0022,0.0103,0.0097,0.0022
aon,std_ic_t2t_mou_7,-0.009,-0.011,-0.0019,0.009,0.011,0.0019
aon,std_ic_t2t_mou_8,-0.0096,-0.0158,-0.0025,0.0096,0.0158,0.0025
aon,std_ic_t2m_mou_6,-0.0137,-0.0133,-0.0123,0.0137,0.0133,0.0123
aon,std_ic_t2m_mou_7,-0.0151,-0.0189,-0.019,0.0151,0.0189,0.019
aon,std_ic_t2m_mou_8,-0.0136,-0.0221,-0.0143,0.0136,0.0221,0.0143
aon,std_ic_t2f_mou_6,0.0535,0.0517,0.0421,0.0535,0.0517,0.0421
aon,std_ic_t2f_mou_7,0.0531,0.0503,0.0348,0.0531,0.0503,0.0348
aon,std_ic_t2f_mou_8,0.0532,0.0495,0.041,0.0532,0.0495,0.041
aon,std_ic_mou_6,-0.0079,-0.007,-0.0071,0.0079,0.007,0.0071
aon,std_ic_mou_7,-0.0091,-0.0128,-0.0124,0.0091,0.0128,0.0124
aon,std_ic_mou_8,-0.0081,-0.0174,-0.0094,0.0081,0.0174,0.0094
aon,total_ic_mou_6,0.1362,0.1329,0.0738,0.1362,0.1329,0.0738
aon,total_ic_mou_7,0.1336,0.124,0.0475,0.1336,0.124,0.0475
aon,total_ic_mou_8,0.1378,0.119,0.0409,0.1378,0.119,0.0409
aon,spl_ic_mou_6,-0.0609,-0.0661,-0.0585,0.0609,0.0661,0.0585
aon,spl_ic_mou_7,-0.0594,-0.0651,-0.0527,0.0594,0.0651,0.0527
aon,spl_ic_mou_8,-0.1031,-0.119,-0.0273,0.1031,0.119,0.0273
aon,isd_ic_mou_6,0.0303,0.0303,0.0381,0.0303,0.0303,0.0381
aon,isd_ic_mou_7,0.0315,0.0308,0.026,0.0315,0.0308,0.026
aon,isd_ic_mou_8,0.0307,0.0287,0.0087,0.0307,0.0287,0.0087
aon,ic_others_6,0.0147,0.0136,0.0225,0.0147,0.0136,0.0225
aon,ic_others_7,0.0134,0.0119,0.0134,0.0134,0.0119,0.0134
aon,ic_others_8,0.0164,0.0142,0.0046,0.0164,0.0142,0.0046
aon,total_rech_num_6,-0.1085,-0.1096,-0.0819,0.1085,0.1096,0.0819
aon,total_rech_num_7,-0.1247,-0.14,-0.0757,0.1247,0.14,0.0757
aon,total_rech_num_8,-0.1359,-0.1686,-0.0443,0.1359,0.1686,0.0443
aon,total_rech_amt_6,0.0204,0.0244,0.0124,0.0204,0.0244,0.0124
aon,total_rech_amt_7,0.0237,0.0143,0.0267,0.0237,0.0143,0.0267
aon,total_rech_amt_8,0.0322,0.0086,0.0481,0.0322,0.0086,0.0481
aon,max_rech_amt_6,0.1369,0.1407,0.0951,0.1369,0.1407,0.0951
aon,max_rech_amt_7,0.1404,0.1382,0.0791,0.1404,0.1382,0.0791
aon,max_rech_amt_8,0.1545,0.1398,0.0933,0.1545,0.1398,0.0933
aon,date_of_last_rech_6,0.0367,0.0315,0.0155,0.0367,0.0315,0.0155
aon,date_of_last_rech_7,0.0166,0.004,-0.0678,0.0166,0.004,0.0678
aon,date_of_last_rech_8,0.0066,-0.0284,-0.0858,0.0066,0.0284,0.0858
aon,last_day_rch_amt_6,0.1127,0.1156,0.0671,0.1127,0.1156,0.0671
aon,last_day_rch_amt_7,0.1055,0.1016,0.0505,0.1055,0.1016,0.0505
aon,last_day_rch_amt_8,0.1522,0.1404,0.0698,0.1522,0.1404,0.0698
aon,vol_2g_mb_6,-0.0363,-0.0392,-0.0366,0.0363,0.0392,0.0366
aon,vol_2g_mb_7,-0.0316,-0.0373,-0.0243,0.0316,0.0373,0.0243
aon,vol_2g_mb_8,-0.035,-0.0456,-0.0027,0.035,0.0456,0.0027
aon,vol_3g_mb_6,-0.0143,-0.0178,-0.0009,0.0143,0.0178,0.0009
aon,vol_3g_mb_7,-0.0128,-0.0178,-0.019,0.0128,0.0178,0.019
aon,vol_3g_mb_8,-0.0113,-0.0196,-0.0209,0.0113,0.0196,0.0209
aon,monthly_2g_6,0.0149,0.0095,0.0123,0.0149,0.0095,0.0123
aon,monthly_2g_7,0.0168,0.0086,0.0168,0.0168,0.0086,0.0168
aon,monthly_2g_8,0.0211,0.011,0.0129,0.0211,0.011,0.0129
aon,sachet_2g_6,-0.0742,-0.0796,-0.0349,0.0742,0.0796,0.0349
aon,sachet_2g_7,-0.0738,-0.082,-0.0362,0.0738,0.082,0.0362
aon,sachet_2g_8,-0.0677,-0.0813,-0.004,0.0677,0.0813,0.004
aon,monthly_3g_6,0.0027,0.0025,-0.0094,0.0027,0.0025,0.0094
aon,monthly_3g_7,0.0078,0.0059,-0.0198,0.0078,0.0059,0.0198
aon,monthly_3g_8,0.013,0.0084,-0.0369,0.013,0.0084,0.0369
aon,sachet_3g_6,-0.0322,-0.0338,-0.0193,0.0322,0.0338,0.0193
aon,sachet_3g_7,-0.0316,-0.0339,-0.0265,0.0316,0.0339,0.0265
aon,sachet_3g_8,-0.0314,-0.0371,-0.0109,0.0314,0.0371,0.0109
aug_vbc_3g,arpu_6,0.1684,0.1842,0.0321,0.1684,0.1842,0.0321
aug_vbc_3g,arpu_7,0.1899,0.193,0.1084,0.1899,0.193,0.1084
aug_vbc_3g,arpu_8,0.2249,0.2214,0.1475,0.2249,0.2214,0.1475
aug_vbc_3g,onnet_mou_6,-0.0116,-0.0086,-0.0117,0.0116,0.0086,0.0117
aug_vbc_3g,onnet_mou_7,-0.0085,-0.0104,0.0103,0.0085,0.0104,0.0103
aug_vbc_3g,onnet_mou_8,-0.0037,-0.0096,0.0238,0.0037,0.0096,0.0238
aug_vbc_3g,offnet_mou_6,0.0175,0.022,-0.0083,0.0175,0.022,0.0083
aug_vbc_3g,offnet_mou_7,0.0159,0.0139,0.0184,0.0159,0.0139,0.0184
aug_vbc_3g,offnet_mou_8,0.0235,0.0163,0.0523,0.0235,0.0163,0.0523
aug_vbc_3g,roam_ic_mou_6,0.0214,0.0284,0.0026,0.0214,0.0284,0.0026
aug_vbc_3g,roam_ic_mou_7,0.0237,0.0339,0.0064,0.0237,0.0339,0.0064
aug_vbc_3g,roam_ic_mou_8,0.0394,0.0507,0.0102,0.0394,0.0507,0.0102
aug_vbc_3g,roam_og_mou_6,0.0161,0.0227,-0.0002,0.0161,0.0227,0.0002
aug_vbc_3g,roam_og_mou_7,0.0212,0.0295,0.0062,0.0212,0.0295,0.0062
aug_vbc_3g,roam_og_mou_8,0.0299,0.0388,0.0107,0.0299,0.0388,0.0107
aug_vbc_3g,loc_og_t2t_mou_6,0.0368,0.0361,0.0078,0.0368,0.0361,0.0078
aug_vbc_3g,loc_og_t2t_mou_7,0.0406,0.0377,0.0251,0.0406,0.0377,0.0251
aug_vbc_3g,loc_og_t2t_mou_8,0.0443,0.0404,0.0269,0.0443,0.0404,0.0269
aug_vbc_3g,loc_og_t2m_mou_6,0.0692,0.0666,0.0345,0.0692,0.0666,0.0345
aug_vbc_3g,loc_og_t2m_mou_7,0.0711,0.0651,0.0713,0.0711,0.0651,0.0713
aug_vbc_3g,loc_og_t2m_mou_8,0.0768,0.0679,0.1486,0.0768,0.0679,0.1486
aug_vbc_3g,loc_og_t2f_mou_6,0.048,0.0458,0.0244,0.048,0.0458,0.0244
aug_vbc_3g,loc_og_t2f_mou_7,0.0509,0.0474,0.0455,0.0509,0.0474,0.0455
aug_vbc_3g,loc_og_t2f_mou_8,0.0536,0.0481,0.0989,0.0536,0.0481,0.0989
aug_vbc_3g,loc_og_t2c_mou_6,0.0142,0.016,-0.0071,0.0142,0.016,0.0071
aug_vbc_3g,loc_og_t2c_mou_7,0.0119,0.0141,0.0034,0.0119,0.0141,0.0034
aug_vbc_3g,loc_og_t2c_mou_8,0.0197,0.0168,0.0287,0.0197,0.0168,0.0287
aug_vbc_3g,loc_og_mou_6,0.069,0.0669,0.0284,0.069,0.0669,0.0284
aug_vbc_3g,loc_og_mou_7,0.0726,0.067,0.0651,0.0726,0.067,0.0651
aug_vbc_3g,loc_og_mou_8,0.0781,0.0703,0.1059,0.0781,0.0703,0.1059
aug_vbc_3g,std_og_t2t_mou_6,-0.0361,-0.0347,-0.0159,0.0361,0.0347,0.0159
aug_vbc_3g,std_og_t2t_mou_7,-0.0344,-0.0373,0.0039,0.0344,0.0373,0.0039
aug_vbc_3g,std_og_t2t_mou_8,-0.0308,-0.037,0.0203,0.0308,0.037,0.0203
aug_vbc_3g,std_og_t2m_mou_6,-0.0304,-0.0275,-0.0244,0.0304,0.0275,0.0244
aug_vbc_3g,std_og_t2m_mou_7,-0.0299,-0.0314,-0.0094,0.0299,0.0314,0.0094
aug_vbc_3g,std_og_t2m_mou_8,-0.0244,-0.0298,0.0029,0.0244,0.0298,0.0029
aug_vbc_3g,std_og_t2f_mou_6,0.0151,0.0141,0.0065,0.0151,0.0141,0.0065
aug_vbc_3g,std_og_t2f_mou_7,0.0191,0.0181,0.0082,0.0191,0.0181,0.0082
aug_vbc_3g,std_og_t2f_mou_8,0.0188,0.0168,0.0065,0.0188,0.0168,0.0065
aug_vbc_3g,std_og_mou_6,-0.043,-0.04,-0.0267,0.043,0.04,0.0267
aug_vbc_3g,std_og_mou_7,-0.0416,-0.0443,-0.0033,0.0416,0.0443,0.0033
aug_vbc_3g,std_og_mou_8,-0.0359,-0.0433,0.0155,0.0359,0.0433,0.0155
aug_vbc_3g,isd_og_mou_6,0.0106,0.011,0.0113,0.0106,0.011,0.0113
aug_vbc_3g,isd_og_mou_7,0.0123,0.0113,0.0407,0.0123,0.0113,0.0407
aug_vbc_3g,isd_og_mou_8,0.0134,0.0119,0.0661,0.0134,0.0119,0.0661
aug_vbc_3g,spl_og_mou_6,0.0092,0.0112,-0.01,0.0092,0.0112,0.01
aug_vbc_3g,spl_og_mou_7,0.0066,0.0061,0.0054,0.0066,0.0061,0.0054
aug_vbc_3g,spl_og_mou_8,0.018,0.0135,0.0346,0.018,0.0135,0.0346
aug_vbc_3g,og_others_6,-0.0067,-0.006,-0.009,0.0067,0.006,0.009
aug_vbc_3g,og_others_7,0.0027,0.0027,-0.0019,0.0027,0.0027,0.0019
aug_vbc_3g,og_others_8,0.0003,0.0,-0.0018,0.0003,0.0,0.0018
aug_vbc_3g,total_og_mou_6,0.0022,0.0061,-0.0167,0.0022,0.0061,0.0167
aug_vbc_3g,total_og_mou_7,0.0033,-0.0009,0.017,0.0033,0.0009,0.017
aug_vbc_3g,total_og_mou_8,0.0118,0.0004,0.055,0.0118,0.0004,0.055
aug_vbc_3g,loc_ic_t2t_mou_6,0.0246,0.0243,-0.005,0.0246,0.0243,0.005
aug_vbc_3g,loc_ic_t2t_mou_7,0.0274,0.0256,0.0033,0.0274,0.0256,0.0033
aug_vbc_3g,loc_ic_t2t_mou_8,0.0343,0.0299,0.0218,0.0343,0.0299,0.0218
aug_vbc_3g,loc_ic_t2m_mou_6,0.0599,0.0581,0.0143,0.0599,0.0581,0.0143
aug_vbc_3g,loc_ic_t2m_mou_7,0.0674,0.0617,0.0481,0.0674,0.0617,0.0481
aug_vbc_3g,loc_ic_t2m_mou_8,0.0681,0.0601,0.0731,0.0681,0.0601,0.0731
aug_vbc_3g,loc_ic_t2f_mou_6,0.044,0.0416,0.0156,0.044,0.0416,0.0156
aug_vbc_3g,loc_ic_t2f_mou_7,0.044,0.0399,0.0479,0.044,0.0399,0.0479
aug_vbc_3g,loc_ic_t2f_mou_8,0.0496,0.0441,0.1049,0.0496,0.0441,0.1049
aug_vbc_3g,loc_ic_mou_6,0.0604,0.059,0.0091,0.0604,0.059,0.0091
aug_vbc_3g,loc_ic_mou_7,0.0669,0.062,0.0347,0.0669,0.062,0.0347
aug_vbc_3g,loc_ic_mou_8,0.0718,0.064,0.0667,0.0718,0.064,0.0667
aug_vbc_3g,std_ic_t2t_mou_6,0.0175,0.0194,0.0082,0.0175,0.0194,0.0082
aug_vbc_3g,std_ic_t2t_mou_7,0.025,0.0257,0.0111,0.025,0.0257,0.0111
aug_vbc_3g,std_ic_t2t_mou_8,0.033,0.0309,0.0147,0.033,0.0309,0.0147
aug_vbc_3g,std_ic_t2m_mou_6,0.0196,0.0225,-0.0083,0.0196,0.0225,0.0083
aug_vbc_3g,std_ic_t2m_mou_7,0.0222,0.0215,0.0048,0.0222,0.0215,0.0048
aug_vbc_3g,std_ic_t2m_mou_8,0.0247,0.0213,0.0162,0.0247,0.0213,0.0162
aug_vbc_3g,std_ic_t2f_mou_6,0.0172,0.0165,0.0025,0.0172,0.0165,0.0025
aug_vbc_3g,std_ic_t2f_mou_7,0.0217,0.0199,0.0166,0.0217,0.0199,0.0166
aug_vbc_3g,std_ic_t2f_mou_8,0.0184,0.0161,0.027,0.0184,0.0161,0.027
aug_vbc_3g,std_ic_mou_6,0.0264,0.0295,-0.0015,0.0264,0.0295,0.0015
aug_vbc_3g,std_ic_mou_7,0.0323,0.0318,0.0113,0.0323,0.0318,0.0113
aug_vbc_3g,std_ic_mou_8,0.0374,0.0339,0.0195,0.0374,0.0339,0.0195
aug_vbc_3g,total_ic_mou_6,0.0656,0.0656,0.0026,0.0656,0.0656,0.0026
aug_vbc_3g,total_ic_mou_7,0.0756,0.0703,0.0374,0.0756,0.0703,0.0374
aug_vbc_3g,total_ic_mou_8,0.0846,0.0742,0.0818,0.0846,0.0742,0.0818
aug_vbc_3g,spl_ic_mou_6,-0.0223,-0.0246,-0.0179,0.0223,0.0246,0.0179
aug_vbc_3g,spl_ic_mou_7,-0.0252,-0.0284,-0.0013,0.0252,0.0284,0.0013
aug_vbc_3g,spl_ic_mou_8,-0.0293,-0.0359,0.0363,0.0293,0.0359,0.0363
aug_vbc_3g,isd_ic_mou_6,0.0201,0.0212,0.0061,0.0201,0.0212,0.0061
aug_vbc_3g,isd_ic_mou_7,0.0271,0.0266,0.0274,0.0271,0.0266,0.0274
aug_vbc_3g,isd_ic_mou_8,0.0333,0.0325,0.0167,0.0333,0.0325,0.0167
aug_vbc_3g,ic_others_6,0.0017,0.0014,-0.0025,0.0017,0.0014,0.0025
aug_vbc_3g,ic_others_7,0.0043,0.0038,-0.0006,0.0043,0.0038,0.0006
aug_vbc_3g,ic_others_8,0.0041,0.0026,0.0146,0.0041,0.0026,0.0146
aug_vbc_3g,total_rech_num_6,0.0247,0.0315,-0.0326,0.0247,0.0315,0.0326
aug_vbc_3g,total_rech_num_7,0.0284,0.0259,0.0073,0.0284,0.0259,0.0073
aug_vbc_3g,total_rech_num_8,0.0323,0.0216,0.0348,0.0323,0.0216,0.0348
aug_vbc_3g,total_rech_amt_6,0.1571,0.1713,0.0247,0.1571,0.1713,0.0247
aug_vbc_3g,total_rech_amt_7,0.1846,0.1881,0.091,0.1846,0.1881,0.091
aug_vbc_3g,total_rech_amt_8,0.2134,0.2096,0.1351,0.2134,0.2096,0.1351
aug_vbc_3g,max_rech_amt_6,0.1953,0.2047,0.0936,0.1953,0.2047,0.0936
aug_vbc_3g,max_rech_amt_7,0.2357,0.2447,0.1175,0.2357,0.2447,0.1175
aug_vbc_3g,max_rech_amt_8,0.2538,0.2545,0.1666,0.2538,0.2545,0.1666
aug_vbc_3g,date_of_last_rech_6,0.019,0.0225,-0.0425,0.019,0.0225,0.0425
aug_vbc_3g,date_of_last_rech_7,0.0238,0.0196,-0.0105,0.0238,0.0196,0.0105
aug_vbc_3g,date_of_last_rech_8,0.0401,0.0301,0.016,0.0401,0.0301,0.016
aug_vbc_3g,last_day_rch_amt_6,0.1248,0.1294,0.0675,0.1248,0.1294,0.0675
aug_vbc_3g,last_day_rch_amt_7,0.148,0.149,0.0948,0.148,0.149,0.0948
aug_vbc_3g,last_day_rch_amt_8,0.1561,0.1521,0.0961,0.1561,0.1521,0.0961
